GEOID,lat,lon,population
84757,37.46457,-113.269305,1388
84758,37.326515,-112.780576,837
84759,37.926071,-112.390081,2209
84760,37.949582,-112.661783,1023
84761,37.852329,-112.866017,3127
84762,37.497245,-112.73698,111
84763,37.146693,-113.069504,169
84764,37.785331,-111.932454,304
84765,37.337765,-114.017951,7891
84766,38.598516,-112.345688,110
84767,37.201399,-112.985805,620
84770,37.13839,-113.629601,47226
84772,37.793286,-112.947567,208
84773,38.25075,-111.470479,406
84774,37.243249,-113.280893,2115
84775,38.289608,-111.03342,473
84776,37.62961,-112.08248,537
84779,37.334886,-113.122148,734
84780,37.133167,-113.473684,30709
84781,37.396842,-113.475054,372
84782,37.379912,-113.667644,562
84783,37.26383,-113.682839,1019
84784,37.01867,-112.969318,1301
84790,37.046092,-113.557306,54353
