zcta,lat,lon,population,travel_time_to_ldct_min,need_score
84013,40.295983,-112.094474,719,58.25833333333333,41887.74166666667
84735,37.64493,-112.449555,184,222.16500000000002,40878.36
84073,40.345859,-110.41634,189,213.92,40430.88
84308,41.966388,-111.967628,253,158.14333333333332,40010.26333333333
84331,41.94356,-112.35869,242,165.16166666666666,39969.12333333333
84023,40.903341,-109.217325,84,474.2116666666666,39833.77999999999
84069,40.365189,-112.485465,425,85.61333333333333,36385.666666666664
84746,37.238607,-113.350607,1251,28.178333333333335,35251.095
84018,41.221884,-111.448409,338,103.99666666666667,35150.87333333334
84712,38.136558,-111.975577,119,283.73333333333335,33764.26666666667
84006,40.596926,-112.1238,865,38.285000000000004,33116.525
84516,39.128434,-111.067081,94,336.375,31619.25
84756,37.742488,-113.54774,253,123.47666666666666,31239.596666666665
84602,40.254108,-111.650082,2115,14.421666666666665,30501.824999999997
84334,41.78959,-112.15188,234,127.24,29774.16
84742,37.517737,-113.158779,416,69.565,28939.04
84766,38.598516,-112.345688,110,260.93666666666667,28703.033333333333
84082,40.340345,-111.361662,815,33.835,27575.525
84781,37.396842,-113.475054,372,72.29666666666667,26894.36
84782,37.379912,-113.667644,562,47.218333333333334,26536.703333333335
84061,40.764039,-111.318822,315,80.16,25250.399999999998
84329,41.804208,-113.476254,99,231.89,22957.109999999997
84762,37.497245,-112.73698,111,200.57666666666665,22264.01
84728,39.333131,-113.912398,63,345.45,21763.35
84772,37.793286,-112.947567,208,102.85833333333332,21394.53333333333
84733,37.29713,-113.805681,252,63.57666666666667,16021.32
84304,41.821842,-111.979131,108,128.35833333333332,13862.699999999999
84763,37.146693,-113.069504,169,69.34166666666667,11718.741666666667
84732,38.445321,-111.904087,39,295.33833333333337,11518.195000000002
84313,41.367926,-113.682487,29,363.83,10551.07
84024,41.007673,-111.447161,134,67.56833333333333,9054.156666666666
84719,37.660881,-112.781467,49,154.75166666666667,7582.831666666667
84731,38.186485,-112.763384,36,181.05166666666665,6517.86
84621,39.05142,-111.835095,30,202.70833333333337,6081.250000000001
84113,40.762733,-111.832849,256,22.456666666666663,5748.906666666666
84408,41.192579,-111.939483,150,33.67333333333333,5051.0
84755,37.226514,-112.7853,28,140.48666666666668,3933.626666666667
84150,40.7715,-111.891064,7,23.006666666666668,161.04666666666668
84180,40.770444,-111.901105,0,22.368333333333332,0.0
84124,40.677751,-111.797558,22992,0.0,0.0
84403,41.214976,-111.889608,37244,0.0,0.0
84107,40.658017,-111.884519,37548,0.0,0.0
84114,40.777946,-111.888256,0,23.498333333333335,0.0
84117,40.66167,-111.835629,24873,0.0,0.0
