zcta_u,zcta_v,travel_time_min
84098,84108,37.14333333333333
84027,84072,47.83166666666667
84084,84118,17.966666666666665
84060,84092,53.63166666666667
84327,84330,27.761666666666667
84518,84521,26.541666666666668
84626,84645,30.30666666666667
84642,84643,29.105
84725,84781,47.035
84088,84094,14.981666666666666
84626,84655,23.991666666666667
84522,84523,51.184999999999995
84718,84736,63.095
84718,84726,82.58
84770,84782,28.21333333333333
84701,84732,53.41
84716,84775,89.69833333333332
84602,84663,34.63166666666667
84038,84321,119.89666666666668
84511,84530,105.30333333333333
84101,84180,3.9033333333333333
84104,84128,12.351666666666667
84082,84604,33.835
84630,84642,45.208333333333336
84023,84085,223.59
84054,84150,13.926666666666668
84081,84088,11.441666666666666
84105,84106,7.1
84055,84098,54.016666666666666
84001,84052,58.95333333333333
84071,84096,73.15833333333333
84059,84062,71.49
84624,84649,49.916666666666664
84636,84649,65.22166666666666
84721,84756,68.44666666666667
84334,84337,19.555
84039,84078,39.825
84745,84767,34.14666666666667
84031,84073,71.49666666666667
84737,84763,67.17666666666666
84040,84050,32.71333333333333
84043,84045,84.66333333333334
84629,84646,43.733333333333334
84072,84073,57.55
84311,84327,26.59333333333333
84713,84743,91.15166666666667
84335,84338,16.745
84004,84062,68.79666666666667
84521,84529,59.54666666666667
84084,84123,18.605
84716,84749,65.06666666666666
84408,84414,22.05666666666667
84074,84118,37.07166666666667
84725,84753,112.05333333333333
84028,84320,87.89666666666668
84034,84728,172.31
84101,84104,11.671666666666665
84059,84602,15.661666666666667
84101,84114,6.503333333333333
84319,84321,85.49833333333332
84054,84103,35.40333333333333
84040,84405,14.273333333333333
84104,84119,11.073333333333332
84315,84401,17.975
84307,84329,164.01833333333335
84511,84534,75.36666666666666
84620,84657,12.918333333333333
84621,84622,6.2716666666666665
84001,84027,78.45166666666667
84653,84664,19.325
84710,84718,79.49833333333332
84644,84711,98.065
84753,84756,119.23333333333333
84014,84037,63.605000000000004
84761,84772,16.688333333333333
84010,84114,23.498333333333335
84308,84320,18.928333333333335
84645,84648,21.195
84633,84648,41.81166666666666
84056,84401,23.028333333333332
84636,84644,54.836666666666666
84005,84013,17.209999999999997
84039,84053,28.276666666666664
84780,84790,21.603333333333335
84331,84336,108.53833333333334
84080,84626,75.13000000000001
84120,84123,14.104999999999999
84322,84332,14.558333333333334
84401,84405,12.913333333333332
84051,84072,73.27166666666668
84322,84341,2.3800000000000003
84314,84337,23.55
84721,84772,26.31
84032,84604,74.195
84311,84312,11.953333333333335
84008,84540,294.09000000000003
84108,84112,24.891666666666666
84052,84063,51.075
